Тираж;Дата;Время;∑ чисел выпавших;∑ чисел не выпавших;μ число;⌓ Медиана;Повторения чисел;σ² Дисперсия;σ СКО;↑ Макс;↓ Мин;Четных;Нечетных;Кол-во простых;Кол-во составных;Кол-во низких;Кол-во высоких;Кол-во треугольных;Кол-во квадратных;Кол-во зеркальных
1;29.10.2025;12:01;67;1763;11,1667;10,5;нет;27,8056;5,2731;19;3;3;3;2;4;6;0;1;2;3
2;29.10.2025;15:01;52;1778;8,6667;7,5;да;38,8889;6,2361;18;1;2;4;2;3;6;0;4;1;3
3;29.10.2025;18:01;60;1780;10;10;да;19,6667;4,4347;18;3;4;2;2;4;6;0;3;0;3
4;29.10.2025;21:01;64;1772;10,6667;8,5;да;30,8889;5,5578;19;5;2;4;4;2;6;0;2;0;4
5;30.10.2025;12:01;65;1765;10,8333;10,5;да;32,4722;5,6984;18;1;3;3;2;3;6;0;2;1;3
6;30.10.2025;15:01;60;1770;10;9;да;16;4;17;5;2;4;4;2;6;0;1;0;3
7;30.10.2025;18:01;53;1777;8,8333;8;да;31,1389;5,5802;19;2;3;3;3;3;6;0;0;2;4
8;30.10.2025;21:01;65;1765;10,8333;11;да;34,8056;5,8996;18;1;1;5;3;2;6;0;1;2;3
9;31.10.2025;12:01;63;1767;10,5;11;да;36,9167;6,0759;20;1;3;3;1;4;6;0;2;2;3
10;31.10.2025;15:01;59;1771;9,8333;10;да;24,4722;4,9469;17;2;3;3;3;3;6;0;1;1;4
11;31.10.2025;18:01;46;1791;7,6667;7;да;11,2222;3,35;14;3;2;4;3;3;6;0;2;1;5
12;31.10.2025;21:01;83;1763;13,8333;16;нет;27,4722;5,2414;19;4;5;1;1;5;6;0;1;3;1
13;01.11.2025;12:01;76;1754;12,6667;13,5;да;25,2222;5,0222;20;5;4;2;1;5;6;0;1;1;2
14;01.11.2025;15:01;72;1773;12;12,5;да;8,6667;2,9439;15;7;2;4;2;4;6;0;3;0;2
15;01.11.2025;18:01;45;1785;7,5;5,5;да;41,5833;6,4485;20;1;3;3;3;2;6;0;2;1;5
16;01.11.2025;21:01;56;1774;9,3333;9;да;9,2222;3,0368;14;5;4;2;2;4;6;0;1;0;3
17;02.11.2025;12:01;48;1788;8;6;да;22;4,6904;17;3;2;4;4;2;6;0;3;0;5
18;02.11.2025;15:01;37;1796;6,1667;3,5;да;20,4722;4,5246;13;2;3;3;4;2;6;0;2;1;4
19;02.11.2025;18:01;78;1766;13;14;да;8,6667;2,9439;16;7;4;2;1;5;6;0;1;1;1
20;02.11.2025;21:01;48;1784;8;7,5;да;28,3333;5,3229;17;2;4;2;4;2;6;0;0;0;4
21;03.11.2025;12:01;68;1762;11,3333;12,5;да;17,8889;4,2295;17;4;4;2;2;4;6;0;0;1;2
22;03.11.2025;15:01;50;1780;8,3333;9;да;18,8889;4,3461;15;2;4;2;2;4;6;0;2;1;4
23;03.11.2025;18:01;55;1782;9,1667;8,5;да;10,8056;3,2872;15;5;1;5;4;2;6;0;2;0;4
24;03.11.2025;21:01;55;1785;9,1667;10;да;36,8056;6,0668;18;1;5;1;1;4;6;0;3;1;2
25;04.11.2025;12:01;50;1782;8,3333;8;да;32,5556;5,7058;18;2;6;0;2;4;6;0;2;0;3
26;04.11.2025;15:01;83;1747;13,8333;15;да;23,4722;4,8448;20;7;5;1;1;5;6;0;0;1;2
27;04.11.2025;18:01;78;1752;13;15;да;31,3333;5,5976;20;5;4;2;2;4;6;0;1;1;2
28;04.11.2025;21:01;74;1756;12,3333;14,5;да;53,2222;7,2954;20;1;2;4;3;2;6;0;1;1;3
29;05.11.2025;12:01;48;1782;8;7;нет;29,6667;5,4467;17;2;4;2;3;3;6;0;2;1;3
30;05.11.2025;15:01;47;1783;7,8333;7;да;33,8056;5,8143;18;1;3;3;2;3;6;0;3;2;4
31;05.11.2025;18:01;65;1781;10,8333;11,5;да;21,4722;4,6338;16;4;5;1;1;5;6;0;2;3;2
32;05.11.2025;21:01;75;1782;12,5;13;да;12,9167;3,594;16;6;3;3;2;4;6;0;2;2;3
33;06.11.2025;12:01;67;1763;11,1667;12,5;да;32,4722;5,6984;18;1;3;3;2;3;6;0;1;2;2
34;06.11.2025;15:01;74;1775;12,3333;14;да;44,5556;6,675;19;3;2;4;4;2;6;0;2;0;2
35;06.11.2025;18:01;59;1772;9,8333;9,5;да;58,4722;7,6467;20;1;3;3;1;3;6;0;3;2;3
36;06.11.2025;21:01;91;1757;15,1667;17,5;да;20,4722;4,5246;19;6;3;3;3;3;6;0;1;0;1
37;07.11.2025;12:01;66;1764;11;9,5;да;33;5,7446;19;3;2;4;3;3;6;0;2;1;3
38;07.11.2025;15:01;67;1763;11,1667;10;да;26,4722;5,1451;20;4;3;3;1;5;6;0;1;2;4
39;07.11.2025;18:01;64;1766;10,6667;10,5;да;50,5556;7,1102;19;2;4;2;3;3;6;0;0;2;3
40;07.11.2025;21:01;87;1743;14,5;13,5;да;8,9167;2,9861;19;11;3;3;3;3;6;0;0;0;1
41;08.11.2025;12:01;86;1744;14,3333;16;да;27,5556;5,2493;20;4;4;2;1;5;6;0;1;1;1
42;08.11.2025;15:01;68;1762;11,3333;12,5;да;49,2222;7,0159;20;1;4;2;0;5;6;0;3;2;2
43;08.11.2025;18:01;65;1765;10,8333;11;да;33,4722;5,7855;20;1;5;1;0;5;6;0;2;1;2
44;08.11.2025;21:01;58;1772;9,6667;9,5;да;36,8889;6,0736;18;1;4;2;1;4;6;0;1;3;4
45;09.11.2025;12:01;64;1766;10,6667;9;да;28,5556;5,3437;20;4;4;2;1;5;6;0;2;1;3
46;09.11.2025;15:01;52;1778;8,6667;9,5;да;36,2222;6,0185;19;1;2;4;3;2;6;0;2;2;4
47;09.11.2025;18:01;65;1765;10,8333;10,5;да;6,8056;2,6088;15;7;1;5;3;3;6;0;2;1;3
48;09.11.2025;21:01;80;1779;13,3333;13,5;да;12,2222;3,496;17;7;2;4;3;3;6;0;1;0;1
49;10.11.2025;12:01;38;1804;6,3333;4,5;да;16,8889;4,1096;12;2;4;2;3;3;6;0;1;1;4
50;10.11.2025;15:01;64;1766;10,6667;11;да;31,8889;5,647;20;3;4;2;2;4;6;0;2;0;2
51;10.11.2025;18:01;53;1777;8,8333;8,5;да;40,4722;6,3618;19;1;3;3;3;2;6;0;2;1;3
52;10.11.2025;21:01;74;1756;12,3333;13,5;да;35,8889;5,9907;19;1;2;4;3;2;6;0;2;2;2
53;11.11.2025;12:01;77;1768;12,8333;13;да;18,8056;4,3365;20;7;1;5;2;4;6;0;2;1;3
54;11.11.2025;15:01;80;1750;13,3333;14;да;16,2222;4,0277;18;6;2;4;3;3;6;0;2;0;2
55;11.11.2025;18:01;67;1784;11,1667;12,5;да;55,8056;7,4703;19;2;3;3;5;1;6;0;0;0;3
56;11.11.2025;21:01;65;1765;10,8333;11,5;да;43,8056;6,6186;20;2;3;3;4;2;6;0;1;0;3
57;12.11.2025;12:01;60;1770;10;10;нет;23,3333;4,8305;16;4;2;4;3;3;6;0;1;2;3
58;12.11.2025;15:01;68;1762;11,3333;12;да;52,2222;7,2265;20;1;2;4;1;4;6;0;2;3;3
59;12.11.2025;18:01;56;1774;9,3333;10,5;да;39,2222;6,2628;18;1;4;2;2;3;6;0;1;1;3
60;12.11.2025;21:01;58;1772;9,6667;9,5;да;21,5556;4,6428;18;4;4;2;1;5;6;0;1;2;3
61;13.11.2025;12:01;72;1758;12;13,5;да;32;5,6569;19;4;2;4;4;2;6;0;0;1;2
62;13.11.2025;15:01;71;1759;11,8333;11;да;39,8056;6,3092;20;3;3;3;3;3;6;0;1;0;3
63;13.11.2025;18:01;65;1788;10,8333;9,5;да;39,1389;6,2561;19;4;3;3;3;3;6;0;0;2;4
64;13.11.2025;21:01;77;1753;12,8333;12,5;да;9,1389;3,0231;17;8;3;3;3;3;6;0;0;1;2
65;14.11.2025;12:01;58;1772;9,6667;9;да;30,5556;5,5277;17;2;2;4;5;1;6;0;0;1;4
66;14.11.2025;15:01;74;1766;12,3333;11,5;да;16,8889;4,1096;20;7;4;2;2;4;6;0;2;0;1
